City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,haimen,23.1935,116.6142,28.3,77,100,5.81,CN,1725859617
128,azacualpa,15.3433,-88.5514,22.16,99,100,1.46,HN,1725859617
129,alofi,-19.0595,-169.9187,23.94,94,20,3.6,NU,1725859617
130,kothen,51.75,11.9667,17.62,80,100,7.33,DE,1725859617
131,namibe,-15.1961,12.1522,16.85,90,26,2.94,AO,1725859617
132,sakakah,29.9697,40.2064,29.76,19,0,2.24,SA,1725859617
133,kittila,67.6647,24.8936,14.08,88,0,4.63,FI,1725859617
134,cabo san lucas,22.8909,-109.9124,30.98,53,16,1.34,MX,1725859559
135,hithadhoo,-0.6,73.0833,28.27,72,71,3.6,MV,1725859617
136,sebdou,34.637,-1.3314,19.52,81,0,0.73,DZ,1725859617
137,axim,4.8699,-2.2405,23.6,84,73,2.03,GH,1725859617
138,lazaro cardenas,17.9583,-102.2,26.07,88,100,0.94,MX,1725859618
139,camayenne,9.535,-13.6878,25.05,100,100,3.09,GN,1725859618
140,al muwayh,22.4333,41.7583,32.13,18,31,5.79,SA,1725859663
141,crockett,31.3182,-95.4566,15.35,94,0,0.0,US,1725859617
142,san luis de la loma,17.2706,-100.8939,25.79,88,100,1.63,MX,1725859663
143,urzhar,47.093,81.6294,20.96,25,30,2.2,KZ,1725859618
144,palmer,42.1584,-72.3287,12.37,74,0,1.94,US,1725859618
145,new norfolk,-42.7826,147.0587,9.27,92,80,4.87,AU,1725859618
146,bulawayo,-20.15,28.5833,19.5,35,15,1.18,ZW,1725859618
147,winnemucca,40.973,-117.7357,18.03,25,0,0.0,US,1725859618
148,nova vicosa,-17.8919,-39.3719,21.99,79,26,3.65,BR,1725859664
149,ancud,-41.8697,-73.8203,7.56,91,98,3.85,CL,1725859618
150,ljusdal,61.8288,16.0913,13.51,83,100,1.83,SE,1725859618
151,puerto natales,-51.7236,-72.4875,0.05,82,37,2.65,CL,1725859664
152,cockburn town,21.4612,-71.1419,28.79,82,0,9.47,TC,1725859664
153,saint-philippe,-21.3585,55.7679,22.71,77,17,4.42,RE,1725859619
154,thompson,55.7435,-97.8558,16.09,77,40,1.03,CA,1725859619
155,la passe,45.5549,-0.8967,17.69,91,63,4.59,FR,1725859619
156,makarska,43.2969,17.0178,24.66,65,100,8.14,HR,1725859619
157,deqen,29.9618,90.7188,16.09,53,56,2.83,CN,1725859619
158,gualeguaychu,-33.0094,-58.5172,12.16,88,55,4.66,AR,1725859619
159,otjiwarongo,-20.4637,16.6477,12.85,27,0,2.14,NA,1725859619
160,shingu,33.7333,135.9833,28.58,77,8,4.21,JP,1725859619
161,bamboo flat,11.7,92.7167,30.05,79,75,5.14,IN,1725859619
162,ungsang-nodongjagu,42.3578,130.4622,21.23,66,0,3.64,KP,1725859619
163,hermanus,-34.4187,19.2345,6.56,79,35,5.09,ZA,1725859619
164,quesnel,52.9999,-122.5029,15.28,58,100,5.66,CA,1725859619
165,georgetown,5.4112,100.3354,31.97,60,20,3.6,MY,1725859620
166,fortuna,40.5982,-124.1573,13.53,93,44,1.18,US,1725859620
167,olonkinbyen,70.9221,-8.7187,3.32,94,95,10.47,SJ,1725859620
